id,sku,name,slug,category,brand,price_vnd,original_price_vnd,discount_percent,stock,rating,review_count,warranty_months,image_url,description,specs_json,is_featured,status,created_at,data_note
1,TCH-PHN-0001,Samsung Galaxy A56 5G Lite,samsung-galaxy-a56-5g-lite-001,Điện thoại,Samsung,8090000,8090000,0,94,4.1,228,12,https://placehold.co/600x600?text=PHN+001,"Samsung Galaxy A56 5G Lite thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.7 inch AMOLED 120Hz"", ""storage"": ""512GB"", ""ram"": ""12GB"", ""battery"": ""4500mAh""}",False,active,2026-04-19,Mock data generated for demo; not real inventory
2,TCH-PHN-0002,Apple iPhone 15,apple-iphone-15-002,Điện thoại,Apple,4790000,4790000,0,27,4.1,616,12,https://placehold.co/600x600?text=PHN+002,"Apple iPhone 15 thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.7 inch AMOLED 120Hz"", ""storage"": ""512GB"", ""ram"": ""12GB"", ""battery"": ""5200mAh""}",False,active,2026-04-18,Mock data generated for demo; not real inventory
3,TCH-PHN-0003,Xiaomi Redmi Note 14 2025,xiaomi-redmi-note-14-2025-003,Điện thoại,Xiaomi,21890000,24320000,10,103,4.8,777,12,https://placehold.co/600x600?text=PHN+003,"Xiaomi Redmi Note 14 2025 thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.5 inch AMOLED"", ""storage"": ""256GB"", ""ram"": ""6GB"", ""battery"": ""4500mAh""}",False,active,2026-03-28,Mock data generated for demo; not real inventory
4,TCH-PHN-0004,OPPO Reno 13F,oppo-reno-13f-004,Điện thoại,OPPO,7290000,8580000,15,12,4.2,352,24,https://placehold.co/600x600?text=PHN+004,"OPPO Reno 13F thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.1 inch OLED"", ""storage"": ""512GB"", ""ram"": ""8GB"", ""battery"": ""5200mAh""}",False,active,2026-02-01,Mock data generated for demo; not real inventory
5,TCH-PHN-0005,Vivo Vivo V40 Lite Pro,vivo-vivo-v40-lite-pro-005,Điện thoại,Vivo,6790000,7540000,10,106,4.6,370,24,https://placehold.co/600x600?text=PHN+005,"Vivo Vivo V40 Lite Pro thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.1 inch OLED"", ""storage"": ""128GB"", ""ram"": ""12GB"", ""battery"": ""4500mAh""}",False,active,2026-03-16,Mock data generated for demo; not real inventory
6,TCH-PHN-0006,realme realme 13 Pro,realme-realme-13-pro-006,Điện thoại,realme,13090000,13090000,0,48,4.1,650,18,https://placehold.co/600x600?text=PHN+006,"realme realme 13 Pro thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.5 inch AMOLED"", ""storage"": ""128GB"", ""ram"": ""12GB"", ""battery"": ""5000mAh""}",True,active,2026-01-19,Mock data generated for demo; not real inventory
7,TCH-PHN-0007,Nokia Nokia G42 Max,nokia-nokia-g42-max-007,Điện thoại,Nokia,29490000,31040000,5,68,4.7,167,18,https://placehold.co/600x600?text=PHN+007,"Nokia Nokia G42 Max thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.7 inch AMOLED 120Hz"", ""storage"": ""512GB"", ""ram"": ""12GB"", ""battery"": ""4500mAh""}",False,active,2026-03-25,Mock data generated for demo; not real inventory
8,TCH-PHN-0008,Nothing Phone 2a SE,nothing-phone-2a-se-008,Điện thoại,Nothing,5790000,6230000,7,105,3.8,323,18,https://placehold.co/600x600?text=PHN+008,"Nothing Phone 2a SE thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.1 inch OLED"", ""storage"": ""512GB"", ""ram"": ""12GB"", ""battery"": ""5000mAh""}",False,active,2026-02-24,Mock data generated for demo; not real inventory
9,TCH-PHN-0009,Samsung Galaxy A56 5G Lite,samsung-galaxy-a56-5g-lite-009,Điện thoại,Samsung,23990000,28220000,15,113,4.9,469,12,https://placehold.co/600x600?text=PHN+009,"Samsung Galaxy A56 5G Lite thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.1 inch OLED"", ""storage"": ""512GB"", ""ram"": ""12GB"", ""battery"": ""5200mAh""}",False,active,2026-03-09,Mock data generated for demo; not real inventory
10,TCH-PHN-0010,Apple iPhone 15 Lite,apple-iphone-15-lite-010,Điện thoại,Apple,27490000,32340000,15,114,4.5,370,12,https://placehold.co/600x600?text=PHN+010,"Apple iPhone 15 Lite thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.1 inch OLED"", ""storage"": ""512GB"", ""ram"": ""8GB"", ""battery"": ""4500mAh""}",False,active,2026-01-13,Mock data generated for demo; not real inventory
